en_url,proposed_es_url,proposed_es_title,nota,modo
/en/tour/lake-nasser-cruise,/es/tour/lake-nasser-crucero-por-el-lago-nasser,Crucero por el Lago Nasser Lake Nasser | Asuán–Abu Simbel 2026/2027,,auto
/en/tour/luxury-dahabiya-nile-cruise,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/malouka-dahabiya-nile-cruise,/es/tour/malouka-crucero-dahabiya-por-el-nilo,Crucero Dahabiya por el Nilo Malouka | Luxor–Asuán 2026/2027,,auto
/en/tour/merit-dahabiya-nile-cruise,/es/tour/merit-crucero-dahabiya-por-el-nilo,Crucero Dahabiya por el Nilo Merit | Luxor–Asuán 2026/2027,,auto
/en/tour/meroe-dahabiya-nile-cruise,/es/tour/meroe-crucero-dahabiya-por-el-nilo,Crucero Dahabiya por el Nilo Meroe | Luxor–Asuán 2026/2027,,auto
/en/tour/movenpick-ms-hamees-nile-cruise,/es/tour/ms-hamees-crucero-por-el-nilo,Crucero por el Nilo MS Hamees (Movenpick) | Luxor–Asuán 2026/2027,,auto
/en/tour/movenpick-ms-sun-ray-nile-cruise,/es/tour/ms-sun-ray-crucero-por-el-nilo,Crucero por el Nilo MS Sun Ray (Movenpick) | Luxor–Asuán 2026/2027,,auto
/en/tour/movenpick-prince-abbas-lake-cruise,/es/tour/prince-abbas-crucero-por-el-lago-nasser,Crucero por el Lago Nasser Prince Abbas (Movenpick) | Asuán–Abu Simbel 2026/2027,,auto
/en/tour/movenpick-royal-lily-nile-cruise,/es/tour/royal-lily-crucero-por-el-nilo,Crucero por el Nilo Royal Lily (Movenpick) | Luxor–Asuán 2026/2027,,auto
/en/tour/movenpick-royal-lotus-nile-cruise,/es/tour/royal-lotus-crucero-por-el-nilo,Crucero por el Nilo Royal Lotus (Movenpick) | Luxor–Asuán 2026/2027,,auto
/en/tour/ms-alexander-the-great-nile-cruise,/es/tour/ms-alexander-the-great-crucero-por-el-nilo,Crucero por el Nilo MS Alexander The Great | Luxor–Asuán 2026/2027,,auto
/en/tour/ms-jaz-senator-luxury-nile-cruise,/es/tour/ms-jaz-senator-crucero-de-lujo-por-el-nilo,Crucero de Lujo por el Nilo MS Jaz Senator | Luxor–Asuán 2026/2027,,auto
/en/tour/ms-mayfair-nile-cruise,/es/tour/ms-mayfair-crucero-por-el-nilo,Crucero por el Nilo MS Mayfair | Luxor–Asuán 2026/2027,,auto
/en/tour/ms-mayflower-nile-cruise,/es/tour/ms-mayflower-crucero-por-el-nilo,Crucero por el Nilo MS Mayflower | Luxor–Asuán 2026/2027,,auto
/en/tour/ms-miriam-nile-cruise,/es/tour/ms-miriam-crucero-por-el-nilo,Crucero por el Nilo MS Miriam | Luxor–Asuán 2026/2027,,auto
/en/tour/ms-nubian-sea-lake-nasser-cruise,/es/tour/ms-nubian-sea-crucero-por-el-lago-nasser,Crucero por el Lago Nasser MS Nubian Sea | Asuán–Abu Simbel 2026/2027,,auto
/en/tour/ms-royal-la-terrasse-nile-cruise,/es/tour/ms-royal-la-terrasse-crucero-por-el-nilo,Crucero por el Nilo MS Royal La Terrasse | Luxor–Asuán 2026/2027,,auto
/en/tour/ms-salacia-nile-cruise,/es/tour/ms-salacia-crucero-por-el-nilo,Crucero por el Nilo MS Salacia | Luxor–Asuán 2026/2027,,auto
/en/tour/ms-tosca-luxury-nile-cruise,/es/tour/ms-tosca-crucero-de-lujo-por-el-nilo,Crucero de Lujo por el Nilo MS Tosca | Luxor–Asuán 2026/2027,,auto
/en/tour/nebu-nile-cruise,/es/tour/nebu-crucero-por-el-nilo,Crucero por el Nilo Nebu | Luxor–Asuán 2026/2027,,auto
/en/tour/nile-cruise-cairo-package,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/nile-cruise-red-sea-package,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/nile-premium-nile-cruise,/es/tour/nile-premium-crucero-por-el-nilo,Crucero por el Nilo Nile Premium | Luxor–Asuán 2026/2027,,auto
/en/tour/nile-quest-nile-cruise,/es/tour/nile-quest-crucero-por-el-nilo,Crucero por el Nilo Nile Quest | Luxor–Asuán 2026/2027,,auto
/en/tour/oberoi-philae-luxury-cruise,/es/tour/philae-crucero-de-lujo-por-el-nilo,Crucero de Lujo por el Nilo Philae (Oberoi) | Luxor–Asuán 2026/2027,,auto
/en/tour/oberoi-zahra-luxury-nile-cruise,/es/tour/zahra-crucero-de-lujo-por-el-nilo,Crucero de Lujo por el Nilo Zahra (Oberoi) | Luxor–Asuán 2026/2027,,auto
/en/tour/premium-cairo-nile-cruise,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/regal-egypt-experience-8-day-luxury-cairo-nile-cruise,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/royal-egyptian-oberoi-cruise,/es/tour/royal-egyptian-oberoi-crucero-por-el-nilo,Crucero por el Nilo Royal Egyptian Oberoi | Luxor–Asuán 2026/2027,,auto
/en/tour/royal-esadora-nile-cruise,/es/tour/royal-esadora-crucero-por-el-nilo,Crucero por el Nilo Royal Esadora | Luxor–Asuán 2026/2027,,auto
/en/tour/royal-princess-nile-cruise,/es/tour/royal-princess-crucero-por-el-nilo,Crucero por el Nilo Royal Princess | Luxor–Asuán 2026/2027,,auto
/en/tour/sabena-al-jamila-nile-cruise,/es/tour/sabena-al-jamila-crucero-por-el-nilo,Crucero por el Nilo Sabena Al Jamila | Luxor–Asuán 2026/2027,,auto
/en/tour/salima-nile-cruise,/es/tour/salima-crucero-por-el-nilo,Crucero por el Nilo Salima | Luxor–Asuán 2026/2027,,auto
/en/tour/sanctuary-nile-adventurer-luxury-nile-cruise,/es/tour/nile-adventurer-crucero-de-lujo-por-el-nilo,Crucero de Lujo por el Nilo Nile Adventurer (Sanctuary) | Luxor–Asuán 2026/2027,,auto
/en/tour/sanctuary-sun-boat-iii-luxury-nile-cruise,/es/tour/sun-boat-iii-crucero-de-lujo-por-el-nilo,Crucero de Lujo por el Nilo Sun Boat III (Sanctuary) | Luxor–Asuán 2026/2027,,auto
/en/tour/sanctuary-sun-boat-iv-luxury-nile-cruise,/es/tour/sun-boat-iv-crucero-de-lujo-por-el-nilo,Crucero de Lujo por el Nilo Sun Boat IV (Sanctuary) | Luxor–Asuán 2026/2027,,auto
/en/tour/sonesta-amirat-dahabiya-nile-cruise,/es/tour/amirat-crucero-dahabiya-por-el-nilo,Crucero Dahabiya por el Nilo Amirat (Sonesta) | Luxor–Asuán 2026/2027,,auto
/en/tour/sonesta-moon-goddess-nile-cruise,/es/tour/moon-goddess-crucero-por-el-nilo,Crucero por el Nilo Moon Goddess (Sonesta) | Luxor–Asuán 2026/2027,,auto
/en/tour/sonesta-star-goddess-luxury-nile-cruise,/es/tour/star-goddess-crucero-de-lujo-por-el-nilo,Crucero de Lujo por el Nilo Star Goddess (Sonesta) | Luxor–Asuán 2026/2027,,auto
/en/tour/steigenberger-legacy-nile-cruise,/es/tour/legacy-crucero-por-el-nilo,Crucero por el Nilo Legacy (Steigenberger) | Luxor–Asuán 2026/2027,,auto
/en/tour/steigenberger-omar-el-khayam-lake-cruise,/es/tour/omar-el-khayam-crucero-por-el-lago-nasser,Crucero por el Lago Nasser Omar El Khayam (Steigenberger) | Asuán–Abu Simbel 2026/2027,,auto
/en/tour/the-definitive-8-day-egypt-tour-package-pharaonic-wonders-nile-cruise,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/the-essential-7-day-egypt-tour-package-pyramids-nile-cruise-highlights,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/the-ultimate-9-day-egypt-tour-package-pyramids-nile-cruise-red-sea-wonders,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/the-ultimate-pharaohs-journey-cairo-4-night-luxury-nile-cruise,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/three-pyramids-dahabiya-nile-cruise,/es/tour/three-pyramids-crucero-dahabiya-por-el-nilo,Crucero Dahabiya por el Nilo Three Pyramids | Luxor–Asuán 2026/2027,,auto
/en/tour/tower-prestige-nile-cruise,/es/tour/tower-prestige-crucero-por-el-nilo,Crucero por el Nilo Tower Prestige | Luxor–Asuán 2026/2027,,auto
/en/tour/tulip-nile-cruise,/es/tour/tulip-crucero-por-el-nilo,Crucero por el Nilo Tulip | Luxor–Asuán 2026/2027,,auto
