cluster,keyword_es,intent,current_position,status,target_url,priority
5-planificacion,mejor epoca para viajar a egipto,informational,,missing,/es/blog/mejor-epoca-para-viajar-a-egipto,P2
5-planificacion,es seguro viajar a egipto,informational,,missing,/es/blog/es-seguro-viajar-a-egipto,P3
5-planificacion,visado egipto para mexicanos,informational,,missing,/es/blog/visado-egipto-mexicanos,P3
6-comparativas,valle de los reyes vs valle de las reinas,informational,15.3,live-improve,/es/blog/valle-de-los-reyes-vs-valle-de-las-reinas,P2
6-comparativas,templos de luxor y karnak,informational,12.0,live-improve,/es/blog/templo-de-karnak-vs-templo-de-luxor,P2
6-comparativas,asuan o luxor primero,informational,,missing,/es/blog/asuan-o-luxor-primero,P3
6-comparativas,crucero vs dahabiya vs faluca,informational,,missing,/es/blog/crucero-dahabiya-o-faluca,P3
7-logistica,distancia aswan abu simbel,informational,35.0,spelling-gap,/es/blog/abu-simbel-desde-asuan-por-carretera-o-en-avion,P1
7-logistica,distancia de aswan a abu simbel,informational,34.0,spelling-gap,/es/blog/abu-simbel-desde-asuan-por-carretera-o-en-avion,P1
7-logistica,bus aswan abu simbel,informational,63.0,spelling-gap,/es/blog/abu-simbel-desde-asuan-por-carretera-o-en-avion,P1
7-logistica,visitar abu simbel,commercial,56.0,weak,/es/tour/abu-simbel-desde-asuan,P2
8-destinos,ciudad de luxor,informational,28.0,missing,/es/destinos/luxor,P3
8-destinos,que ver en luxor,informational,,missing,/es/destinos/luxor,P3
8-destinos,asuan,informational,9.0,missing,/es/destinos/asuan,P3
8-destinos,el valle de las reinas,informational,69.0,weak,/es/tour/valle-de-los-reyes-y-las-reinas,P3
8-destinos,esfinge egipcia,informational,30.3,weak,/es/blog/la-esfinge-de-giza,P4
8-destinos,gran piramide de giza,informational,33.5,weak,/es/blog/gran-piramide-de-giza,P4
